"(Server Name, Domain)",Servers known in domain
"('nsc.nic.uk.', 'co.uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
"('dns3.nic.uk.', 'co.uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
"('nsd.nic.uk.', 'co.uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
"('dns1.nic.uk.', 'co.uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
"('d.root-servers.net', 'jp')","{'g.dns.jp.', 'c.dns.jp.', 'b.dns.jp.', 'e.dns.jp.', 'd.dns.jp.', 'f.dns.jp.', 'a.dns.jp.', 'h.dns.jp.'}"
"('k.root-servers.net', 'jp')","{'g.dns.jp.', 'c.dns.jp.', 'b.dns.jp.', 'e.dns.jp.', 'd.dns.jp.', 'f.dns.jp.', 'a.dns.jp.', 'h.dns.jp.'}"
"('i.root-servers.net', 'jp')","{'g.dns.jp.', 'c.dns.jp.', 'e.dns.jp.', 'b.dns.jp.', 'd.dns.jp.', 'f.dns.jp.', 'a.dns.jp.', 'h.dns.jp.'}"
"('a.root-servers.net', 'jp')","{'g.dns.jp.', 'c.dns.jp.', 'e.dns.jp.', 'b.dns.jp.', 'd.dns.jp.', 'f.dns.jp.', 'a.dns.jp.', 'h.dns.jp.'}"
"('h.root-servers.net', 'jp')","{'g.dns.jp.', 'c.dns.jp.', 'b.dns.jp.', 'e.dns.jp.', 'd.dns.jp.', 'f.dns.jp.', 'a.dns.jp.', 'h.dns.jp.'}"
"('f.root-servers.net', 'jp')","{'g.dns.jp.', 'c.dns.jp.', 'b.dns.jp.', 'e.dns.jp.', 'd.dns.jp.', 'f.dns.jp.', 'a.dns.jp.', 'h.dns.jp.'}"
"('l.root-servers.net', 'jp')","{'g.dns.jp.', 'c.dns.jp.', 'b.dns.jp.', 'e.dns.jp.', 'd.dns.jp.', 'f.dns.jp.', 'a.dns.jp.', 'h.dns.jp.'}"
"('b.root-servers.net', 'jp')","{'g.dns.jp.', 'c.dns.jp.', 'b.dns.jp.', 'e.dns.jp.', 'd.dns.jp.', 'f.dns.jp.', 'a.dns.jp.', 'h.dns.jp.'}"
"('j.root-servers.net', 'jp')","{'g.dns.jp.', 'c.dns.jp.', 'b.dns.jp.', 'e.dns.jp.', 'd.dns.jp.', 'f.dns.jp.', 'a.dns.jp.', 'h.dns.jp.'}"
"('g.root-servers.net', 'jp')","{'g.dns.jp.', 'c.dns.jp.', 'e.dns.jp.', 'b.dns.jp.', 'd.dns.jp.', 'f.dns.jp.', 'a.dns.jp.', 'h.dns.jp.'}"
"('e.root-servers.net', 'jp')","{'g.dns.jp.', 'c.dns.jp.', 'b.dns.jp.', 'e.dns.jp.', 'd.dns.jp.', 'f.dns.jp.', 'a.dns.jp.', 'h.dns.jp.'}"
"('c.root-servers.net', 'jp')","{'g.dns.jp.', 'c.dns.jp.', 'b.dns.jp.', 'e.dns.jp.', 'd.dns.jp.', 'f.dns.jp.', 'a.dns.jp.', 'h.dns.jp.'}"
"('m.root-servers.net', 'jp')","{'g.dns.jp.', 'c.dns.jp.', 'e.dns.jp.', 'b.dns.jp.', 'd.dns.jp.', 'f.dns.jp.', 'a.dns.jp.', 'h.dns.jp.'}"
"('g.dns.jp.', 'jp')","{'g.dns.jp.', 'c.dns.jp.', 'e.dns.jp.', 'b.dns.jp.', 'd.dns.jp.', 'f.dns.jp.', 'a.dns.jp.', 'h.dns.jp.'}"
"('c.dns.jp.', 'jp')","{'g.dns.jp.', 'c.dns.jp.', 'e.dns.jp.', 'b.dns.jp.', 'd.dns.jp.', 'f.dns.jp.', 'a.dns.jp.', 'h.dns.jp.'}"
"('b.dns.jp.', 'jp')","{'g.dns.jp.', 'c.dns.jp.', 'e.dns.jp.', 'b.dns.jp.', 'd.dns.jp.', 'f.dns.jp.', 'a.dns.jp.', 'h.dns.jp.'}"
"('e.dns.jp.', 'jp')","{'g.dns.jp.', 'c.dns.jp.', 'e.dns.jp.', 'b.dns.jp.', 'd.dns.jp.', 'f.dns.jp.', 'a.dns.jp.', 'h.dns.jp.'}"
