"(Server Name, Domain)",Servers known in domain
"('f.dns.cn.', 'cn')","{'f.dns.cn.', 'ns.cernet.net.', 'b.dns.cn.', 'e.dns.cn.', 'c.dns.cn.', 'g.dns.cn.', 'a.dns.cn.', 'd.dns.cn.'}"
"('ns.cernet.net.', 'cn')","{'f.dns.cn.', 'ns.cernet.net.', 'b.dns.cn.', 'e.dns.cn.', 'c.dns.cn.', 'g.dns.cn.', 'a.dns.cn.', 'd.dns.cn.'}"
"('b.dns.cn.', 'cn')","{'f.dns.cn.', 'ns.cernet.net.', 'b.dns.cn.', 'e.dns.cn.', 'c.dns.cn.', 'g.dns.cn.', 'a.dns.cn.', 'd.dns.cn.'}"
"('e.dns.cn.', 'cn')","{'f.dns.cn.', 'ns.cernet.net.', 'b.dns.cn.', 'e.dns.cn.', 'c.dns.cn.', 'g.dns.cn.', 'a.dns.cn.', 'd.dns.cn.'}"
"('c.dns.cn.', 'cn')","{'f.dns.cn.', 'ns.cernet.net.', 'b.dns.cn.', 'e.dns.cn.', 'c.dns.cn.', 'g.dns.cn.', 'a.dns.cn.', 'd.dns.cn.'}"
"('g.dns.cn.', 'cn')","{'f.dns.cn.', 'ns.cernet.net.', 'b.dns.cn.', 'e.dns.cn.', 'c.dns.cn.', 'g.dns.cn.', 'a.dns.cn.', 'd.dns.cn.'}"
"('a.dns.cn.', 'cn')","{'f.dns.cn.', 'ns.cernet.net.', 'b.dns.cn.', 'e.dns.cn.', 'c.dns.cn.', 'g.dns.cn.', 'a.dns.cn.', 'd.dns.cn.'}"
"('d.dns.cn.', 'cn')","{'f.dns.cn.', 'ns.cernet.net.', 'b.dns.cn.', 'e.dns.cn.', 'c.dns.cn.', 'g.dns.cn.', 'a.dns.cn.', 'd.dns.cn.'}"
"('g.root-servers.net', 'ru')","{'b.dns.ripn.net.', 'a.dns.ripn.net.', 'f.dns.ripn.net.', 'e.dns.ripn.net.', 'd.dns.ripn.net.'}"
"('e.root-servers.net', 'ru')","{'b.dns.ripn.net.', 'a.dns.ripn.net.', 'f.dns.ripn.net.', 'e.dns.ripn.net.', 'd.dns.ripn.net.'}"
"('d.root-servers.net', 'ru')","{'b.dns.ripn.net.', 'a.dns.ripn.net.', 'f.dns.ripn.net.', 'e.dns.ripn.net.', 'd.dns.ripn.net.'}"
"('i.root-servers.net', 'ru')","{'b.dns.ripn.net.', 'a.dns.ripn.net.', 'f.dns.ripn.net.', 'e.dns.ripn.net.', 'd.dns.ripn.net.'}"
"('b.root-servers.net', 'ru')","{'b.dns.ripn.net.', 'a.dns.ripn.net.', 'f.dns.ripn.net.', 'e.dns.ripn.net.', 'd.dns.ripn.net.'}"
"('j.root-servers.net', 'ru')","{'b.dns.ripn.net.', 'a.dns.ripn.net.', 'f.dns.ripn.net.', 'e.dns.ripn.net.', 'd.dns.ripn.net.'}"
"('k.root-servers.net', 'ru')","{'b.dns.ripn.net.', 'a.dns.ripn.net.', 'f.dns.ripn.net.', 'e.dns.ripn.net.', 'd.dns.ripn.net.'}"
"('l.root-servers.net', 'ru')","{'b.dns.ripn.net.', 'a.dns.ripn.net.', 'f.dns.ripn.net.', 'e.dns.ripn.net.', 'd.dns.ripn.net.'}"
"('h.root-servers.net', 'ru')","{'b.dns.ripn.net.', 'a.dns.ripn.net.', 'f.dns.ripn.net.', 'e.dns.ripn.net.', 'd.dns.ripn.net.'}"
"('f.root-servers.net', 'ru')","{'b.dns.ripn.net.', 'a.dns.ripn.net.', 'f.dns.ripn.net.', 'e.dns.ripn.net.', 'd.dns.ripn.net.'}"
"('m.root-servers.net', 'ru')","{'b.dns.ripn.net.', 'a.dns.ripn.net.', 'f.dns.ripn.net.', 'e.dns.ripn.net.', 'd.dns.ripn.net.'}"
"('c.root-servers.net', 'ru')","{'b.dns.ripn.net.', 'a.dns.ripn.net.', 'f.dns.ripn.net.', 'e.dns.ripn.net.', 'd.dns.ripn.net.'}"
"('a.root-servers.net', 'ru')","{'b.dns.ripn.net.', 'a.dns.ripn.net.', 'f.dns.ripn.net.', 'e.dns.ripn.net.', 'd.dns.ripn.net.'}"
"('b.dns.ripn.net.', 'ru')","{'b.dns.ripn.net.', 'a.dns.ripn.net.', 'f.dns.ripn.net.', 'e.dns.ripn.net.', 'd.dns.ripn.net.'}"
"('a.dns.ripn.net.', 'ru')","{'b.dns.ripn.net.', 'd.dns.RIPN.net.', 'a.dns.ripn.net.', 'f.dns.ripn.net.', 'e.dns.RIPN.net.', 'b.dns.RIPN.net.', 'e.dns.ripn.net.', 'a.dns.RIPN.net.', 'd.dns.ripn.net.', 'f.dns.RIPN.net.'}"
