Server Name,Server Information
ns4.cctld.co.,"DNS information
Domain: co
Host: ns4.cctld.co.
IPv4 Addresses: 156.154.103.25 
IPv6 Addresses :2610:a1:1010::21 
Description: Name server for domain ""co"""
a.au.,"DNS information
Domain: au
Host: a.au.
IPv4 Addresses: 58.65.254.73 
IPv6 Addresses :2407:6e00:254:306::73 
Description: Name server for domain ""au"""
b.au.,"DNS information
Domain: au
Host: b.au.
IPv4 Addresses: 58.65.253.73 
IPv6 Addresses :2407:6e00:253:306::73 
Description: Name server for domain ""au"""
q.au.,"DNS information
Domain: au
Host: q.au.
IPv4 Addresses: 65.22.196.1 
IPv6 Addresses :2a01:8840:be::1 
Description: Name server for domain ""au"""
r.au.,"DNS information
Domain: au
Host: r.au.
IPv4 Addresses: 65.22.197.1 
IPv6 Addresses :2a01:8840:bf::1 
Description: Name server for domain ""au"""
s.au.,"DNS information
Domain: au
Host: s.au.
IPv4 Addresses: 65.22.198.1 
IPv6 Addresses :2a01:8840:c0::1 
Description: Name server for domain ""au"""
t.au.,"DNS information
Domain: au
Host: t.au.
IPv4 Addresses: 65.22.199.1 
IPv6 Addresses :2a01:8840:c1::1 
Description: Name server for domain ""au"""
u.au.,"DNS information
Domain: au
Host: u.au.
IPv4 Addresses: 211.29.133.32 
IPv6 Addresses : No information
Description: Name server for domain ""au"""
v.au.,"DNS information
Domain: au
Host: v.au.
IPv4 Addresses: 202.12.31.53 
IPv6 Addresses :2001:dd8:12::53 
Description: Name server for domain ""au"""
c.au.,"DNS information
Domain: au
Host: c.au.
IPv4 Addresses: 162.159.24.179 
IPv6 Addresses :2400:cb00:2049:1::a29f:18b3 
Description: Name server for domain ""au"""
d.au.,"DNS information
Domain: au
Host: d.au.
IPv4 Addresses: 162.159.25.38 
IPv6 Addresses :2400:cb00:2049:1::a29f:1926 
Description: Name server for domain ""au"""
nsa.nic.uk.,"DNS information
Domain: uk
Host: nsa.nic.uk.
IPv4 Addresses: 156.154.100.3 
IPv6 Addresses :2001:502:ad09::3 
Description: Name server for domain ""uk"""
nsb.nic.uk.,"DNS information
Domain: uk
Host: nsb.nic.uk.
IPv4 Addresses: 156.154.101.3 
IPv6 Addresses : No information
Description: Name server for domain ""uk"""
nsc.nic.uk.,"DNS information
Domain: uk
Host: nsc.nic.uk.
IPv4 Addresses: 156.154.102.3 
IPv6 Addresses : No information
Description: Name server for domain ""uk"""
nsd.nic.uk.,"DNS information
Domain: uk
Host: nsd.nic.uk.
IPv4 Addresses: 156.154.103.3 
IPv6 Addresses : No information
Description: Name server for domain ""uk"""
dns1.nic.uk.,"DNS information
Domain: uk
Host: dns1.nic.uk.
IPv4 Addresses: 213.248.216.1 
IPv6 Addresses :2a01:618:400::1 
Description: Name server for domain ""uk"""
dns2.nic.uk.,"DNS information
Domain: uk
Host: dns2.nic.uk.
IPv4 Addresses: 103.49.80.1 
IPv6 Addresses :2401:fd80:400::1 
Description: Name server for domain ""uk"""
dns3.nic.uk.,"DNS information
Domain: uk
Host: dns3.nic.uk.
IPv4 Addresses: 213.248.220.1 
IPv6 Addresses :2a01:618:404::1 
Description: Name server for domain ""uk"""
dns4.nic.uk.,"DNS information
Domain: uk
Host: dns4.nic.uk.
IPv4 Addresses: 43.230.48.1 
IPv6 Addresses :2401:fd80:404::1 
Description: Name server for domain ""uk"""
cd1.ns.ua.,"DNS information
Domain: ua
Host: cd1.ns.ua.
IPv4 Addresses: 194.0.1.9 
IPv6 Addresses :2001:678:4::9 
Description: Name server for domain ""ua"""
pch.ns.ua.,"DNS information
Domain: ua
Host: pch.ns.ua.
IPv4 Addresses: 204.61.216.12 
IPv6 Addresses :2001:500:14:6012:ad::1 
Description: Name server for domain ""ua"""
sns-pb.isc.org.,"DNS information
Domain: ua
Host: sns-pb.isc.org.
IPv4 Addresses: 192.5.4.1 
IPv6 Addresses :2001:500:2e::1 
Description: Name server for domain ""ua"""
ho1.ns.ua.,"DNS information
Domain: ua
Host: ho1.ns.ua.
IPv4 Addresses: 195.47.253.1 
IPv6 Addresses :2001:67c:258::1 
Description: Name server for domain ""ua"""
he1.ns.ua.,"DNS information
Domain: ua
Host: he1.ns.ua.
IPv4 Addresses: 216.218.215.27 
IPv6 Addresses :2001:470:2e:1::27 
Description: Name server for domain ""ua"""
a.edu-servers.net.,"DNS information
Domain: edu
Host: a.edu-servers.net.
IPv4 Addresses: 192.5.6.30 
IPv6 Addresses : No information
Description: Name server for domain ""edu"""
f.edu-servers.net.,"DNS information
Domain: edu
Host: f.edu-servers.net.
IPv4 Addresses: 192.35.51.30 
IPv6 Addresses : No information
Description: Name server for domain ""edu"""
l.edu-servers.net.,"DNS information
Domain: edu
Host: l.edu-servers.net.
IPv4 Addresses: 192.41.162.30 
IPv6 Addresses : No information
Description: Name server for domain ""edu"""
g.edu-servers.net.,"DNS information
Domain: edu
Host: g.edu-servers.net.
IPv4 Addresses: 192.42.93.30 
IPv6 Addresses :2001:503:cc2c::2:36 
Description: Name server for domain ""edu"""
c.edu-servers.net.,"DNS information
Domain: edu
Host: c.edu-servers.net.
IPv4 Addresses: 192.26.92.30 
IPv6 Addresses : No information
Description: Name server for domain ""edu"""
d.edu-servers.net.,"DNS information
Domain: edu
Host: d.edu-servers.net.
IPv4 Addresses: 192.31.80.30 
IPv6 Addresses : No information
Description: Name server for domain ""edu"""
c.dns-servers.vn.,"DNS information
Domain: vn
Host: c.dns-servers.vn.
IPv4 Addresses: 203.119.38.105 
IPv6 Addresses :2001:dc8:c000:7::105 
Description: Name server for domain ""vn"""
d.dns-servers.vn.,"DNS information
Domain: vn
Host: d.dns-servers.vn.
IPv4 Addresses: 203.119.44.105 
IPv6 Addresses : No information
Description: Name server for domain ""vn"""
