Server Name,Server Information
a2.nic.me.,"DNS information
Domain: me
Host: a2.nic.me.
IPv4 Addresses: 199.249.119.1 
IPv6 Addresses :2001:500:47::1 
Description: Name server for domain ""me"""
b0.nic.me.,"DNS information
Domain: me
Host: b0.nic.me.
IPv4 Addresses: 199.253.60.1 
IPv6 Addresses :2001:500:54::1 
Description: Name server for domain ""me"""
b2.nic.me.,"DNS information
Domain: me
Host: b2.nic.me.
IPv4 Addresses: 199.249.127.1 
IPv6 Addresses :2001:500:4f::1 
Description: Name server for domain ""me"""
c0.nic.me.,"DNS information
Domain: me
Host: c0.nic.me.
IPv4 Addresses: 199.253.61.1 
IPv6 Addresses :2001:500:55::1 
Description: Name server for domain ""me"""
cns.cernet.net.,"DNS information
Domain: gov.cn
Host: cns.cernet.net.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""gov.cn"""
cd1.ns.ua.,"DNS information
Domain: ua
Host: cd1.ns.ua.
IPv4 Addresses: 194.0.1.9 
IPv6 Addresses :2001:678:4::9 
Description: Name server for domain ""ua"""
he1.ns.ua.,"DNS information
Domain: ua
Host: he1.ns.ua.
IPv4 Addresses: 216.218.215.27 
IPv6 Addresses :2001:470:2e:1::27 
Description: Name server for domain ""ua"""
ho1.ns.ua.,"DNS information
Domain: ua
Host: ho1.ns.ua.
IPv4 Addresses: 195.47.253.1 
IPv6 Addresses :2001:67c:258::1 
Description: Name server for domain ""ua"""
pch.ns.ua.,"DNS information
Domain: ua
Host: pch.ns.ua.
IPv4 Addresses: 204.61.216.12 
IPv6 Addresses :2001:500:14:6012:ad::1 
Description: Name server for domain ""ua"""
a.au.,"DNS information
Domain: au
Host: a.au.
IPv4 Addresses: 58.65.254.73 
IPv6 Addresses :2407:6e00:254:306::73 
Description: Name server for domain ""au"""
b.au.,"DNS information
Domain: au
Host: b.au.
IPv4 Addresses: 58.65.253.73 
IPv6 Addresses :2407:6e00:253:306::73 
Description: Name server for domain ""au"""
c.au.,"DNS information
Domain: au
Host: c.au.
IPv4 Addresses: 162.159.24.179 
IPv6 Addresses :2400:cb00:2049:1::a29f:18b3 
Description: Name server for domain ""au"""
d.au.,"DNS information
Domain: au
Host: d.au.
IPv4 Addresses: 162.159.25.38 
IPv6 Addresses :2400:cb00:2049:1::a29f:1926 
Description: Name server for domain ""au"""
q.au.,"DNS information
Domain: au
Host: q.au.
IPv4 Addresses: 65.22.196.1 
IPv6 Addresses :2a01:8840:be::1 
Description: Name server for domain ""au"""
r.au.,"DNS information
Domain: au
Host: r.au.
IPv4 Addresses: 65.22.197.1 
IPv6 Addresses :2a01:8840:bf::1 
Description: Name server for domain ""au"""
