"(Server Name, Domain)",Servers known in domain
"('ns0.wikimedia.org.', 'wikipedia.org')","{'ns0.wikimedia.org.', 'ns2.wikimedia.org.', 'ns1.wikimedia.org.'}"
"('ns2.wikimedia.org.', 'wikipedia.org')","{'ns0.wikimedia.org.', 'ns2.wikimedia.org.', 'ns1.wikimedia.org.'}"
"('ns1.wikimedia.org.', 'wikipedia.org')","{'ns0.wikimedia.org.', 'ns2.wikimedia.org.', 'ns1.wikimedia.org.'}"
"('a.gtld-servers.net.', 'apple.com')","{'c.ns.apple.com.', 'f.ns.apple.com.', 'b.ns.apple.com.', 'd.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.'}"
"('c.gtld-servers.net.', 'apple.com')","{'c.ns.apple.com.', 'f.ns.apple.com.', 'b.ns.apple.com.', 'd.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.'}"
"('i.gtld-servers.net.', 'apple.com')","{'c.ns.apple.com.', 'f.ns.apple.com.', 'b.ns.apple.com.', 'd.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.'}"
"('k.gtld-servers.net.', 'apple.com')","{'c.ns.apple.com.', 'f.ns.apple.com.', 'b.ns.apple.com.', 'd.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.'}"
"('e.gtld-servers.net.', 'apple.com')","{'c.ns.apple.com.', 'f.ns.apple.com.', 'b.ns.apple.com.', 'd.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.'}"
"('l.gtld-servers.net.', 'apple.com')","{'c.ns.apple.com.', 'f.ns.apple.com.', 'b.ns.apple.com.', 'd.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.'}"
"('h.gtld-servers.net.', 'apple.com')","{'c.ns.apple.com.', 'f.ns.apple.com.', 'b.ns.apple.com.', 'd.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.'}"
"('g.gtld-servers.net.', 'apple.com')","{'c.ns.apple.com.', 'f.ns.apple.com.', 'b.ns.apple.com.', 'd.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.'}"
"('f.gtld-servers.net.', 'apple.com')","{'c.ns.apple.com.', 'f.ns.apple.com.', 'b.ns.apple.com.', 'd.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.'}"
"('m.gtld-servers.net.', 'apple.com')","{'c.ns.apple.com.', 'f.ns.apple.com.', 'b.ns.apple.com.', 'd.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.'}"
"('b.gtld-servers.net.', 'apple.com')","{'c.ns.apple.com.', 'f.ns.apple.com.', 'b.ns.apple.com.', 'd.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.'}"
"('j.gtld-servers.net.', 'apple.com')","{'c.ns.apple.com.', 'f.ns.apple.com.', 'b.ns.apple.com.', 'd.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.'}"
"('d.gtld-servers.net.', 'apple.com')","{'c.ns.apple.com.', 'f.ns.apple.com.', 'b.ns.apple.com.', 'd.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.'}"
"('c.ns.apple.com.', 'apple.com')","{'nserver5.apple.com.', 'c.ns.apple.com.', 'f.ns.apple.com.', 'b.ns.apple.com.', 'd.ns.apple.com.', 'e.ns.apple.com.', 'nserver6.apple.com.', 'a.ns.apple.com.'}"
"('f.ns.apple.com.', 'apple.com')","{'nserver5.apple.com.', 'c.ns.apple.com.', 'f.ns.apple.com.', 'b.ns.apple.com.', 'd.ns.apple.com.', 'e.ns.apple.com.', 'nserver6.apple.com.', 'a.ns.apple.com.'}"
"('b.ns.apple.com.', 'apple.com')","{'nserver5.apple.com.', 'c.ns.apple.com.', 'f.ns.apple.com.', 'b.ns.apple.com.', 'nserver6.apple.com.', 'd.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.'}"
"('d.ns.apple.com.', 'apple.com')","{'nserver5.apple.com.', 'c.ns.apple.com.', 'f.ns.apple.com.', 'b.ns.apple.com.', 'd.ns.apple.com.', 'nserver6.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.'}"
"('e.ns.apple.com.', 'apple.com')","{'nserver5.apple.com.', 'c.ns.apple.com.', 'f.ns.apple.com.', 'b.ns.apple.com.', 'nserver6.apple.com.', 'e.ns.apple.com.', 'd.ns.apple.com.', 'a.ns.apple.com.'}"
"('a.ns.apple.com.', 'apple.com')","{'nserver5.apple.com.', 'c.ns.apple.com.', 'f.ns.apple.com.', 'b.ns.apple.com.', 'nserver6.apple.com.', 'd.ns.apple.com.', 'e.ns.apple.com.', 'a.ns.apple.com.'}"
"('c.root-servers.net', 'be')","{'y.ns.dns.be.', 'x.ns.dns.be.', 'a.ns.dns.be.', 'b.ns.dns.be.', 'd.ns.dns.be.', 'c.ns.dns.be.'}"
"('h.root-servers.net', 'be')","{'y.ns.dns.be.', 'x.ns.dns.be.', 'a.ns.dns.be.', 'b.ns.dns.be.', 'd.ns.dns.be.', 'c.ns.dns.be.'}"
"('d.root-servers.net', 'be')","{'y.ns.dns.be.', 'x.ns.dns.be.', 'a.ns.dns.be.', 'b.ns.dns.be.', 'd.ns.dns.be.', 'c.ns.dns.be.'}"
"('i.root-servers.net', 'be')","{'y.ns.dns.be.', 'a.ns.dns.be.', 'x.ns.dns.be.', 'b.ns.dns.be.', 'd.ns.dns.be.', 'c.ns.dns.be.'}"
"('a.root-servers.net', 'be')","{'y.ns.dns.be.', 'x.ns.dns.be.', 'a.ns.dns.be.', 'b.ns.dns.be.', 'd.ns.dns.be.', 'c.ns.dns.be.'}"
"('j.root-servers.net', 'be')","{'y.ns.dns.be.', 'x.ns.dns.be.', 'a.ns.dns.be.', 'b.ns.dns.be.', 'd.ns.dns.be.', 'c.ns.dns.be.'}"
"('b.root-servers.net', 'be')","{'y.ns.dns.be.', 'a.ns.dns.be.', 'x.ns.dns.be.', 'b.ns.dns.be.', 'd.ns.dns.be.', 'c.ns.dns.be.'}"
"('e.root-servers.net', 'be')","{'y.ns.dns.be.', 'x.ns.dns.be.', 'a.ns.dns.be.', 'b.ns.dns.be.', 'd.ns.dns.be.', 'c.ns.dns.be.'}"
