Application Name,Application ID
"('i.root-servers.net', 'org')","{'c0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.', 'b2.org.afilias-nst.org.', 'a0.org.afilias-nst.info.'}"
,
"('d.root-servers.net', 'org')","{'c0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.', 'b2.org.afilias-nst.org.', 'a0.org.afilias-nst.info.'}"
,
"('j.root-servers.net', 'org')","{'c0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.', 'b2.org.afilias-nst.org.', 'a0.org.afilias-nst.info.'}"
,
"('l.root-servers.net', 'org')","{'c0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.', 'b2.org.afilias-nst.org.', 'a0.org.afilias-nst.info.'}"
,
"('m.root-servers.net', 'org')","{'c0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.', 'b2.org.afilias-nst.org.', 'a0.org.afilias-nst.info.'}"
,
"('e.root-servers.net', 'org')","{'c0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.', 'b2.org.afilias-nst.org.', 'a0.org.afilias-nst.info.'}"
,
"('h.root-servers.net', 'org')","{'c0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.', 'b2.org.afilias-nst.org.', 'a0.org.afilias-nst.info.'}"
,
"('a.root-servers.net', 'org')","{'c0.org.afilias-nst.info.', 'a2.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.', 'b2.org.afilias-nst.org.', 'a0.org.afilias-nst.info.'}"
,
