"(Server Name, Domain)",Servers known in domain
"('g.gtld-servers.net.', 'here.com')","{'dns1.p09.nsone.net.', 'ns04.heredns.com.', 'pdns2.ultradns.net.', 'pdns4.ultradns.org.', 'dns4.p09.nsone.net.', 'ns01.heredns.com.', 'dns2.p09.nsone.net.', 'ns02.heredns.com.', 'ns03.heredns.com.', 'dns3.p09.nsone.net.', 'pdns1.ultradns.net.', 'pdns3.ultradns.org.'}"
"('d.root-servers.net', 'ug')","{'root.eahd.or.ug.', 'ns-ug.afrinic.net.', 'ns.icann.org.', 'ug.cctld.authdns.ripe.net.', 'anycast.eahd.or.ug.'}"
"('c.nic.space.', 'space')","{'b.nic.space.', 'c.nic.space.', 'a.nic.space.', 'd.nic.space.'}"
"('b.root-servers.net', 'icu')","{'d.nic.icu.', 'b.nic.icu.', 'c.nic.icu.', 'a.nic.icu.'}"
"('c.root-servers.net', 'ch')","{'f.nic.ch.', 'b.nic.ch.', 'c.nic.ch.', 'd.nic.ch.', 'e.nic.ch.', 'a.nic.ch.', 'h.nic.ch.', 'g.nic.ch.'}"
"('h.root-servers.net', 'name')","{'ac4.nstld.com.', 'ac2.nstld.com.', 'ac1.nstld.com.', 'ac3.nstld.com.'}"
"('l.root-servers.net', 'travel')","{'c.gtld.travel.', 'a.gtld.travel.', 'd.gtld.travel.', 'f.gtld.travel.', 'b.gtld.travel.', 'e.gtld.travel.'}"
"('ilns.ilan.net.il.', 'il')","{'ilns.ilan.net.il.', 'nsa.ns.il.', 'lookup.iucc.ac.il.', 'nse.ns.il.', 'ns2.ns.il.', 'ns1.ns.il.', 'sns-pb.isc.org.', 'nsb.ns.il.', 'ns3.ns.il.'}"
"('m.gtld-servers.net.', 'here.com')","{'dns1.p09.nsone.net.', 'ns04.heredns.com.', 'pdns2.ultradns.net.', 'pdns4.ultradns.org.', 'dns4.p09.nsone.net.', 'ns01.heredns.com.', 'dns2.p09.nsone.net.', 'ns02.heredns.com.', 'ns03.heredns.com.', 'dns3.p09.nsone.net.', 'pdns1.ultradns.net.', 'pdns3.ultradns.org.'}"
"('ns1.registre.ma.', 'ma')","{'ns1.registre.ma.', 'ns3.registre.ma.', 'ns4.registre.ma.', 'ns2.nic.fr.', 'dns.inria.fr.', 'ns2.registre.ma.', 'sns-pb.isc.org.'}"
"('k.root-servers.net', 'space')","{'b.nic.space.', 'c.nic.space.', 'a.nic.space.', 'd.nic.space.'}"
"('r.dns.it.', 'gov.it')","{'dns1.fweds-spc.it.', 'dns2.fweds-spc.it.'}"
"('ns8.166.com.', '163.com')","{'ns8.166.com.', 'ns6.nease.net.', 'ns5.nease.net.', 'ns2.166.com.', 'ns1.nease.net.', 'ns4.nease.net.', 'ns3.nease.net.'}"
"('m.root-servers.net', 'ba')","{'auth03.ns.uu.net.', 'sava.utic.net.ba.', 'munnari.oz.au.', 'una.utic.net.ba.', 'ba.anycastdns.cz.', 'ns.ba.'}"
"('a0.cctld.afilias-nst.info.', 'ag')","{'a2.cctld.afilias-nst.info.', 'b2.cctld.afilias-nst.org.', 'a0.cctld.afilias-nst.info.', 'c0.cctld.afilias-nst.info.', 'd0.cctld.afilias-nst.org.', 'b0.cctld.afilias-nst.org.'}"
"('e.root-servers.net', 'nz')","{'ns4.dns.net.nz.', 'ns7.dns.net.nz.', 'ns6.dns.net.nz.', 'ns3.dns.net.nz.', 'ns2.dns.net.nz.', 'ns5.dns.net.nz.', 'ns1.dns.net.nz.'}"
"('ac4.nstld.com.', 'name')","{'ac4.nstld.com.', 'ac1.nstld.com.', 'ac2.nstld.com.', 'ac3.nstld.com.'}"
"('g.root-servers.net', 'dk')","{'b.nic.dk.', 'p.nic.dk.', 'c.nic.dk.', 's.nic.dk.', 'l.nic.dk.', 'a.nic.dk.'}"
"('g.dns.kr.', 'ac.kr')","{'f.dns.kr.', 'c.dns.kr.', 'b.dns.kr.', 'e.dns.kr.', 'g.dns.kr.', 'd.dns.kr.'}"
"('i.root-servers.net', 'lk')","{'p.nic.lk.', 'l.nic.lk.', 'pendragon.cs.purdue.edu.', 'm.nic.lk.', 'd.nic.lk.', 't.nic.lk.', 'c.nic.lk.', 'ns1.ac.lk.'}"
"('m.root-servers.net', 'no')","{'njet.norid.no.', 'x.nic.no.', 'z.nic.no.', 'not.norid.no.', 'i.nic.no.', 'y.nic.no.'}"
"('c0.org.afilias-nst.info.', 'networkforgood.org')","{'ns0.dnsmadeeasy.com.', 'ns1.dnsmadeeasy.com.', 'ns4.dnsmadeeasy.com.', 'ns3.dnsmadeeasy.com.', 'ns2.dnsmadeeasy.com.'}"
"('a.ns.mt.', 'edu.mt')","{'p.ns.mt.', 'b.ns.mt.', 'a.ns.mt.', 'f.ns.mt.', 'i.ns.mt.'}"
"('e.root-servers.net', 'xn--p1ai')","{'a.dns.ripn.net.', 'e.dns.ripn.net.', 'd.dns.ripn.net.', 'b.dns.ripn.net.', 'f.dns.ripn.net.'}"
"('m.root-servers.net', 'online')","{'d.nic.online.', 'c.nic.online.', 'b.nic.online.', 'a.nic.online.'}"
"('m.root-servers.net', 'be')","{'d.ns.dns.be.', 'x.ns.dns.be.', 'c.ns.dns.be.', 'b.ns.dns.be.', 'a.ns.dns.be.', 'y.ns.dns.be.'}"
"('a.dns.cn.', 'net.cn')","{'cns.cernet.net.', 'd.dns.cn.', 'b.dns.cn.', 'e.dns.cn.', 'f.dns.cn.', 'g.dns.cn.', 'c.dns.cn.', 'a.dns.cn.'}"
"('h.root-servers.net', 'nf')","{'ns.cocca.fr.', 'ns.anycast.nic.nf.'}"
"('f.root-servers.net', 'website')","{'d.nic.website.', 'c.nic.website.', 'a.nic.website.', 'b.nic.website.'}"
"('j.root-servers.net', 'tl')","{'ns.coccaregistry.org.', 'ns.cocca.fr.', 'ns.anycast.nic.tl.'}"
"('c.gtld-servers.net.', 'here.com')","{'dns1.p09.nsone.net.', 'ns04.heredns.com.', 'pdns2.ultradns.net.', 'pdns4.ultradns.org.', 'dns4.p09.nsone.net.', 'ns01.heredns.com.', 'dns2.p09.nsone.net.', 'ns02.heredns.com.', 'ns03.heredns.com.', 'dns3.p09.nsone.net.', 'pdns1.ultradns.net.', 'pdns3.ultradns.org.'}"
"('m.root-servers.net', 'sy')","{'sy.cctld.authdns.ripe.net.', 'ns1.tld.sy.', 'pch.anycast.tld.sy.'}"
"('d.dns.ripn.net.', 'ru')","{'a.dns.ripn.net.', 'e.dns.ripn.net.', 'd.dns.ripn.net.', 'b.dns.ripn.net.', 'f.dns.ripn.net.'}"
"('e.gtld-servers.net.', 'icq.com')","{'ns1.mail.ru.', 'ns2.mail.ru.'}"
"('m.gtld-servers.net.', 'wdc.com')","{'ns1.wdc.com.', 'ans1.wdc.com.', 'ans2.wdc.com.', 'ns2.wdc.com.'}"
"('ns1.ns.il.', 'gov.il')","{'ilns.ilan.net.il.', 'nse.ns.il.', 'lookup.iucc.ac.il.', 'nsa.ns.il.', 'ns2.ns.il.', 'ns1.ns.il.', 'sns-pb.isc.org.', 'nsb.ns.il.', 'dns3.gov.il.', 'ns3.ns.il.'}"
"('ns21.nic.tr.', 'net.tr')","{'lns42.nic.tr.', 'lns41.nic.tr.', 'lns22.nic.tr.', 'lns21.nic.tr.', 'lns5.nic.tr.'}"
"('FRCU.EUN.eg.', 'com.eg')","{'FRCU.EUN.EG.', 'FRCU.eun.eg.', 'RIP.PSG.COM.'}"
"('b.au.', 'edu.au')","{'q.au.', 'r.au.', 't.au.', 's.au.'}"
"('b0.org.afilias-nst.org.', 'aps.org')","{'ns-713.awsdns-25.net.', 'ns-456.awsdns-57.com.', 'ns-1828.awsdns-36.co.uk.', 'ns-1087.awsdns-07.org.'}"
"('c.root-servers.net', 'xyz')","{'x.nic.xyz.', 'y.nic.xyz.', 'z.nic.xyz.', 'generationxyz.nic.xyz.'}"
"('g.dns.tw.', 'tw')","{'f.dns.tw.', 'ns.twnic.net.', 'b.dns.tw.', 'anytld.apnic.net.', 'a.dns.tw.', 'g.dns.tw.', 'e.dns.tw.', 'i.dns.tw.', 'd.dns.tw.', 'h.dns.tw.', 'c.dns.tw.'}"
"('f.root-servers.net', 'fi')","{'c.fi.', 'h.fi.', 'g.fi.', 'f.fi.', 'i.fi.', 'b.fi.', 'a.fi.', 'd.fi.', 'e.fi.'}"
"('a.root-servers.net', 'af')","{'ns.anycast.nic.af.', 'ns.coccaregistry.org.', 'ns.cocca.fr.'}"
"('m.root-servers.net', 'ee')","{'b.tld.ee.', 'e.tld.ee.', 'ee.eenet.ee.', 'ns.tld.ee.', 'ee.aso.ee.'}"
"('d.root-servers.net', 'site')","{'a.nic.site.', 'd.nic.site.', 'b.nic.site.', 'c.nic.site.'}"
"('h.root-servers.net', 'tr')","{'ns31.nic.tr.', 'ns42.nic.tr.', 'ns91.nic.tr.', 'ns92.nic.tr.', 'ns22.nic.tr.', 'ns21.nic.tr.', 'ns41.nic.tr.'}"
"('j.root-servers.net', 'gy')","{'gy-ns.anycast.pch.net.', 'ns.cocca.fr.', 'sns-pb.isc.org.'}"
"('u.dns.py.', 'py')","{'p.dns.py.', 'l.dns.py.', 'c.dns.py.', 'u.dns.py.', 'b.dns.py.', 'm.dns.py.'}"
"('g.gtld-servers.net.', 'wdc.com')","{'ns1.wdc.com.', 'ans1.wdc.com.', 'ans2.wdc.com.', 'ns2.wdc.com.'}"
"('ns.MSU.RU.', 'edu.ru')","{'ns.informika.ru.', 'ns2.free.net.', 'ns.runnet.ru.', 'ns.msu.ru.', 'ns2.informika.ru.'}"
"('a.root-servers.net', 'sh')","{'c0.nic.sh.', 'a2.nic.sh.', 'ns-a3.sh.', 'b0.nic.sh.', 'ns-a1.sh.', 'a0.nic.sh.'}"
"('l.root-servers.net', 'xyz')","{'x.nic.xyz.', 'y.nic.xyz.', 'z.nic.xyz.', 'generationxyz.nic.xyz.'}"
"('b.root-servers.net', 'pk')","{'root-s.pknic.pk.', 'root-c1.pknic.pk.', 'ns3.pknic.net.pk.', 'root-e.pknic.pk.', 'n1.pknic.net.pk.', 'root-c2.pknic.pk.'}"
"('b.gtld-servers.net.', 'bfast.com')","{'ns1.mediaplex.com.', 'ns2.mediaplex.com.'}"
"('c0.org.afilias-nst.info.', 'org')","{'a2.org.afilias-nst.info.', 'c0.org.afilias-nst.info.', 'd0.org.afilias-nst.org.', 'b0.org.afilias-nst.org.', 'a0.org.afilias-nst.info.', 'b2.org.afilias-nst.org.'}"
"('ns3.cctld.co.', 'co')","{'ns4.cctld.co.', 'ns6.cctld.co.', 'ns5.cctld.co.', 'ns3.cctld.co.', 'ns1.cctld.co.', 'ns2.cctld.co.'}"
"('anytld.apnic.net.', 'org.tw')","{'h.twnic.net.tw.', 'g.twnic.net.tw.', 'b.twnic.net.tw.', 'e.twnic.net.tw.', 'a.twnic.net.tw.', 'anytld.apnic.net.', 'i.dns.tw.', 'c.twnic.net.tw.', 'd.twnic.net.tw.', 'h.dns.tw.', 'f.twnic.net.tw.'}"
"('k.gtld-servers.net.', 'feedblitz.com')","{'ns-20.awsdns-02.com.', 'ns-1069.awsdns-05.org.', 'ns-979.awsdns-58.net.', 'ns-1991.awsdns-56.co.uk.'}"
"('g.gtld-servers.net.', 'icq.com')","{'ns1.mail.ru.', 'ns2.mail.ru.'}"
"('l.gtld-servers.net.', 'google.com')","{'ns3.google.com.', 'ns4.google.com.', 'ns1.google.com.', 'ns2.google.com.'}"
"('b.root-servers.net', 'ph')","{'ns4.apnic.net.', '1.ns.ph.', 'sns-pb.isc.org.', 'ns2.cuhk.edu.hk.', 'ph.communitydns.net.'}"
"('f-dns.pl.', 'edu.pl')","{'f-dns.pl.', 'a-dns.pl.', 'b-dns.pl.', 'i-dns.pl.', 'e-dns.pl.', 'g-dns.pl.', 'h-dns.pl.', 'd-dns.pl.'}"
"('l.root-servers.net', 'website')","{'d.nic.website.', 'c.nic.website.', 'a.nic.website.', 'b.nic.website.'}"
"('d.root-servers.net', 'iq')","{'dyn2.cmc.iq.', 'nsp-anycast.cmc.iq.', 'ns1.cmc.iq.', 'dyn1.cmc.iq.', 'sns-pb.isc.org.'}"
"('anycast10.irondns.net.', 'scot')","{'anycast24.irondns.net.', 'anycast9.irondns.net.', 'anycast23.irondns.net.', 'anycast10.irondns.net.'}"
"('l.root-servers.net', 'online')","{'d.nic.online.', 'c.nic.online.', 'b.nic.online.', 'a.nic.online.'}"
"('k.root-servers.net', 'cl')","{'cl1.dnsnode.net.', 'c.nic.cl.', 'cl-ns.anycast.pch.net.', 'b.nic.cl.', 'a.nic.cl.', 'sns-pb.isc.org.'}"
