Server Name,Server Information
ns2.166.com.,"DNS information
Domain: 163.com
Host: ns2.166.com.
IPv4 Addresses: 123.58.173.178 
IPv6 Addresses : No information
Description: Name server for domain ""163.com"""
EUR1.NIPR.mil.,"DNS information
Domain: mil
Host: EUR1.NIPR.mil.
IPv4 Addresses: 199.252.154.234 
IPv6 Addresses : No information
Description: Name server for domain ""mil"""
a.thains.co.th.,"DNS information
Domain: th
Host: a.thains.co.th.
IPv4 Addresses: 122.155.23.64 
IPv6 Addresses :2001:c38:2000:183::30 
Description: Name server for domain ""th"""
ns3.soufun.com.,"DNS information
Domain: fang.com
Host: ns3.soufun.com.
IPv4 Addresses: 218.30.109.17 218.30.110.17 
IPv6 Addresses : No information
Description: Name server for domain ""fang.com"""
b.ns.tk.,"DNS information
Domain: tk
Host: b.ns.tk.
IPv4 Addresses: 194.0.39.1 
IPv6 Addresses :2001:678:54::1 
Description: Name server for domain ""tk"""
h.nic.li.,"DNS information
Domain: li
Host: h.nic.li.
IPv4 Addresses: 85.119.5.230 
IPv6 Addresses :2a03:bd80:36::1:203:230 
Description: Name server for domain ""li"""
ns03.heredns.com.,"DNS information
Domain: here.com
Host: ns03.heredns.com.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""here.com"""
c.tld.sk.,"DNS information
Domain: sk
Host: c.tld.sk.
IPv4 Addresses: 195.12.159.1 
IPv6 Addresses :2001:678:9c::1 
Description: Name server for domain ""sk"""
con2.nipr.mil.,"DNS information
Domain: mil
Host: con2.nipr.mil.
IPv4 Addresses: 199.252.162.234 
IPv6 Addresses : No information
Description: Name server for domain ""mil"""
ord.sns-pb.isc.org.,"DNS information
Domain: ac.th
Host: ord.sns-pb.isc.org.
IPv4 Addresses: 199.6.0.30 
IPv6 Addresses :2001:500:71::30 
Description: Name server for domain ""ac.th"""
e.dns.br.,"DNS information
Domain: br
Host: e.dns.br.
IPv4 Addresses: 200.229.248.10 
IPv6 Addresses :2001:12f8:1::10 
Description: Name server for domain ""br"""
c0.nic.io.,"DNS information
Domain: io
Host: c0.nic.io.
IPv4 Addresses: 65.22.162.17 
IPv6 Addresses :2a01:8840:a0::17 
Description: Name server for domain ""io"""
z.dns.eu.,"DNS information
Domain: eu
Host: z.dns.eu.
IPv4 Addresses: 162.88.56.1 
IPv6 Addresses :2600:2000:3004::1 
Description: Name server for domain ""eu"""
ns3.dns.nic.bid.,"DNS information
Domain: bid
Host: ns3.dns.nic.bid.
IPv4 Addresses: 156.154.159.25 
IPv6 Addresses :2610:a1:1073::19 
Description: Name server for domain ""bid"""
ns1.nic.ht.,"DNS information
Domain: ht
Host: ns1.nic.ht.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""ht"""
unlp.unlp.edu.ar.,"DNS information
Domain: edu.ar
Host: unlp.unlp.edu.ar.
IPv4 Addresses: 163.10.0.67 
IPv6 Addresses :2800:340:0:64::67 
Description: Name server for domain ""edu.ar"""
e.dns-servers.vn.,"DNS information
Domain: vn
Host: e.dns-servers.vn.
IPv4 Addresses: 203.119.60.105 
IPv6 Addresses : No information
Description: Name server for domain ""vn"""
ns-1087.awsdns-07.org.,"DNS information
Domain: aps.org
Host: ns-1087.awsdns-07.org.
IPv4 Addresses: 205.251.196.63 
IPv6 Addresses : No information
Description: Name server for domain ""aps.org"""
j.zdnscloud.com.,"DNS information
Domain: top
Host: j.zdnscloud.com.
IPv4 Addresses:  No information
IPv6 Addresses :2401:8d00:2::1 
Description: Name server for domain ""top"""
ns-a.mcafee.com.,"DNS information
Domain: mcafee.com
Host: ns-a.mcafee.com.
IPv4 Addresses: 216.49.88.14 
IPv6 Addresses : No information
Description: Name server for domain ""mcafee.com"""
ns5.iqilu.com.,"DNS information
Domain: iqilu.com
Host: ns5.iqilu.com.
IPv4 Addresses: 119.164.219.2 
IPv6 Addresses : No information
Description: Name server for domain ""iqilu.com"""
ns1.nease.net.,"DNS information
Domain: 163.com
Host: ns1.nease.net.
IPv4 Addresses: 123.58.173.177 
IPv6 Addresses : No information
Description: Name server for domain ""163.com"""
d.monic.mo.,"DNS information
Domain: mo
Host: d.monic.mo.
IPv4 Addresses: 202.175.51.115 
IPv6 Addresses :2001:f90:8::2 
Description: Name server for domain ""mo"""
g.dns.cn.,"DNS information
Domain: cn
Host: g.dns.cn.
IPv4 Addresses: 66.198.183.65 
IPv6 Addresses : No information
Description: Name server for domain ""cn"""
z.nic.de.,"DNS information
Domain: de
Host: z.nic.de.
IPv4 Addresses: 194.246.96.1 
IPv6 Addresses : No information
Description: Name server for domain ""de"""
