Server Name,Server Information
b.ns.facebook.com.,"DNS information
Domain: facebook.com
Host: b.ns.facebook.com.
IPv4 Addresses: 69.171.255.12 
IPv6 Addresses :2a03:2880:ffff:c:face:b00c:0:35 
Description: Name server for domain ""facebook.com"""
ns2eu.bt.net.,"DNS information
Domain: europa.eu
Host: ns2eu.bt.net.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""europa.eu"""
ns1bru.europa.eu.,"DNS information
Domain: europa.eu
Host: ns1bru.europa.eu.
IPv4 Addresses: 147.67.250.2 
IPv6 Addresses : No information
Description: Name server for domain ""europa.eu"""
ns2bru.europa.eu.,"DNS information
Domain: europa.eu
Host: ns2bru.europa.eu.
IPv4 Addresses: 147.67.250.3 
IPv6 Addresses : No information
Description: Name server for domain ""europa.eu"""
ns1lux.europa.eu.,"DNS information
Domain: europa.eu
Host: ns1lux.europa.eu.
IPv4 Addresses: 147.67.12.2 
IPv6 Addresses : No information
Description: Name server for domain ""europa.eu"""
ns1.be.colt.net.,"DNS information
Domain: europa.eu
Host: ns1.be.colt.net.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""europa.eu"""
ns3bru.europa.eu.,"DNS information
Domain: europa.eu
Host: ns3bru.europa.eu.
IPv4 Addresses:  No information
IPv6 Addresses :2a01:7080:14:101::2 
Description: Name server for domain ""europa.eu"""
ns3lux.europa.eu.,"DNS information
Domain: europa.eu
Host: ns3lux.europa.eu.
IPv4 Addresses:  No information
IPv6 Addresses :2a01:7080:24:101::2 
Description: Name server for domain ""europa.eu"""
ns2lux.europa.eu.,"DNS information
Domain: europa.eu
Host: ns2lux.europa.eu.
IPv4 Addresses: 147.67.12.3 
IPv6 Addresses : No information
Description: Name server for domain ""europa.eu"""
ns1.bt.net.,"DNS information
Domain: europa.eu
Host: ns1.bt.net.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""europa.eu"""
a.nic.de.,"DNS information
Domain: de
Host: a.nic.de.
IPv4 Addresses: 194.0.0.53 
IPv6 Addresses :2001:678:2::53 
Description: Name server for domain ""de"""
f.nic.de.,"DNS information
Domain: de
Host: f.nic.de.
IPv4 Addresses: 81.91.164.5 
IPv6 Addresses :2a02:568:0:2::53 
Description: Name server for domain ""de"""
l.de.net.,"DNS information
Domain: de
Host: l.de.net.
IPv4 Addresses: 77.67.63.105 
IPv6 Addresses :2001:668:1f:11::105 
Description: Name server for domain ""de"""
